;;;;;;;;;;;;;;;;
Sutarties unikalus ID;Sutarties numeris;Sutarties objektas;Pirkimo numeris;BVPŽ kodas;Perkančioji organizacija;Perkančiosios organizacijos kodas;Tiekėjas (-ai);Tiekėjo kodas;Vertė;Sudarymo data;Galiojimo data;Paskelbimo data;Paskutinio redagavimo data;Tipas
2008161519;CPO305266;Mokinių maitinimo paslaugos su patalpų nuoma;;55523100-3;Kauno Jono ir Petro Vileišių mokykla;190136549;"UAB ""Sveikos mitybos partneris""";304171051;209459,87;2024-07-09;2027-07-31;2026-07-02;2026-08-13;PPS
2008191714;CPO386637;Maitinimo paslaugų sutartis (V. Krėvės pr. 50);;55523100-3;Kauno tarptautinė gimnazija;300594100;"UAB ""Sveikos mitybos partneris""";304171051;323707,59;2026-07-14;2029-07-13;2026-07-31;2026-08-18;PPS
1675702482;BS11160;Restoranų ir maisto tiekimo paslaugos;;55300000-3;Kauno Jono Jablonskio gimnazija;191825091;"UAB ""Berneliai""";135464844;235,6;2026-02-06;2026-02-06;2026-02-13;2026-02-13;MVPŽ
999999999;TEST;Test;;55523100-3;Nesvarbi įstaiga;999999999;Test;1;1;2026-01-01;2026-12-31;2026-01-01;2026-01-01;MVPŽ
