Kategorija,Juridinis_kodas,Padalinio_pavadinimas,Istaigos_tipas,Savivaldybe,Adresas,Padalinio_ID,Tikslinis_kodas,Tikslinis_pavadinimas,Saltinio_data
Daugiafunkciai centrai,190138361,Kauno Bernardo Brazdþionio mokykla,Ikimokyklinio ugdymo mokykla ; Pradinë mokykla ; Pagrindinë mokykla,Kaunas,"Kaunas, Partizanø g. 22",88691960152,190138361,Kauno Bernardo Brazdžionio mokykla,2026-09-02
Daugiafunkciai centrai,190136168,"Kauno ""Nemuno"" mokykla",Pagrindinë mokykla,Kaunas,"Kaunas, A. ir J. Gravrogkø g. 9",88691960134,190136168,Kauno Nemuno mokykla,2026-09-02
Daugiafunkciai centrai,190138023,Kauno Aleksandro Stulginskio mokykla,Pagrindinë mokykla ; Pradinë mokykla ; Ikimokyklinio ugdymo mokykla,Kaunas,"Kaunas, Partizanø g. 152",88691960148,190138023,Kauno Aleksandro Stulginskio mokykla,2026-09-02
Daugiafunkciai centrai,191090994,Kauno Vaiðvydavos mokykla,Pradinë mokykla ; Ikimokyklinio ugdymo mokykla ; Pagrindinë mokykla,Kaunas,"Kaunas, Vaiðvydo g. 28",88691960118,191090994,Kauno Vaišvydavos mokykla,2026-09-02
Daugiafunkciai centrai,190136549,Kauno Jono ir Petro Vileiðiø mokykla,Pagrindinë mokykla,Kaunas,"Kaunas, Demokratø g. 36",88691960138,190136549,Kauno Jono ir Petro Vileišių mokykla,2026-09-02
Daugiafunkciai centrai,190134530,Vytauto Didþiojo universiteto klasikinio ugdymo mokykla,Pagrindinë mokykla ; Pradinë mokykla ; Ikimokyklinio ugdymo mokykla,Kaunas,"Kaunas, Vokieèiø g. 164",88691960184,190134530,Vytauto Didžiojo universiteto klasikinio ugdymo licėjus,2026-09-02
Suaugusiųjų mokyklos,295093070,Kauno suaugusiøjø ir jaunimo mokymo centras,Gimnazija ; Profesinio mokymo ástaiga,Kaunas,"Kaunas, Sandëliø g. 7",88691960137,295093070,Kauno suaugusiųjų ir jaunimo mokymo centras,2026-09-02
Gimnazijos,190133777,"Kauno ""Auðros"" gimnazija",Pagrindinë mokykla ; Gimnazija,Kaunas,"Kaunas, Laisvës al. 95",88691960189,190133777,Kauno Aušros gimnazija,2026-09-02
Gimnazijos,190139463,Kauno Jono Basanavièiaus gimnazija,Pagrindinë mokykla ; Gimnazija,Kaunas,"Kaunas, Ðarkuvos g. 28",88691960129,190139463,Kauno Jono Basanavičiaus gimnazija,2026-09-02
Gimnazijos,290134150,Kauno Stepono Dariaus ir Stasio Girëno gimnazija,Pagrindinë mokykla ; Gimnazija,Kaunas,"Kaunas, Miðko g. 1",88691960187,290134150,Kauno Stepono Dariaus ir Stasio Girėno gimnazija,2026-09-02
