Nr,Kategorija,Juridinis_kodas,Mokykla,Istaigos_tipas,Savivaldybe,Adresas,Tikrinti,Istaigos_statusas,Aptikimo_saltinis,Aptikimo_data,Pastabos
33,Daugiafunkciai centrai,190136549,Kauno Jono ir Petro Vileišių mokykla,mokykla,Kaunas,"Partizanų g. 68, Kaunas",TAIP,Aktyvi,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,
34,Daugiafunkciai centrai,190134530,Vytauto Didžiojo universiteto klasikinio ugdymo licėjus,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
35,Suaugusiųjų mokyklos,295093070,Kauno suaugusiųjų ir jaunimo mokymo centras,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
36,Gimnazijos,190133777,Kauno Aušros gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
37,Gimnazijos,190139463,Kauno Jono Basanavičiaus gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
38,Gimnazijos,290134150,Kauno Stepono Dariaus ir Stasio Girėno gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
39,Gimnazijos,190133962,Kauno Gedimino sporto ir sveikatinimo gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
40,Gimnazijos,190139659,Kauno Juozo Grušo meno gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
41,Gimnazijos,191825091,Kauno Jono Jablonskio gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
42,Gimnazijos,190136353,Kauno technologijos universiteto inžinerijos licėjus,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
43,Gimnazijos,190136691,Kauno Kovo 11-osios gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
44,Gimnazijos,290133810,Kauno Maironio universitetinė gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
45,Gimnazijos,190137989,Kauno Palemono gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
46,Gimnazijos,190135447,Prezidento Valdo Adamkaus gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
47,Gimnazijos,300594100,Kauno tarptautinė gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
48,Gimnazijos,190138557,Vytauto Didžiojo universiteto Rasos gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
49,Gimnazijos,191090841,Prezidento Antano Smetonos gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
50,Gimnazijos,190139844,Kauno Santaros gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
51,Gimnazijos,190134683,Kauno Saulės gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
52,Gimnazijos,190138895,Kauno Varpo gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
53,Gimnazijos,190135828,Kauno Veršvų gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
54,Gimnazijos,190136887,Kauno Vyturio gimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
55,Specialiosios mokyklos ir ugdymo centrai,190983430,Kauno Prano Daunio ugdymo centras,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
56,Specialiosios mokyklos ir ugdymo centrai,290983050,Kauno Jono Laužiko mokykla,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
57,Specialiosios mokyklos ir ugdymo centrai,190797479,Kauno šv. Roko mokykla,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
